id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	associatedOccurrences	associatedReferences	otherCatalogNumbers	occurrenceRemarks	organismID	materialSampleID	eventID	fieldNumber	eventDate	eventTime	year	month	verbatimEventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
69	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	69					1	individuals			present										2015-02-21 00:02:00															-18.3558	178.054	100	0.0009	POINT (178.05405 -18.35583)							urn:lsid:marinespecies.org:taxname:278243		Aetobatus ocellatus	Animalia	Chordata		Myliobatidae	Aetobatus						
690	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	690					1	individuals			present										2013-01-03 00:01:00															-0.76569	-90.3335	100	0.0009	POINT (-90.33353 -0.76569)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
691	2019-01-02T15:19:22			SharkBase	SharkBase	HumanObservation	691					1	individuals			present										2011-12-29 00:12:00															-0.69465	-90.2208	100	0.0009	POINT (-90.22080 -0.69465)							urn:lsid:marinespecies.org:taxname:105793		Carcharhinus limbatus	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
692	2019-01-02T15:19:23			SharkBase	SharkBase	HumanObservation	692					1	individuals			present										2014-07-26 23:07:00									Peru						-3.98333	-80.9833	100	0.0009	POINT (-80.98333 -3.98333)							urn:lsid:marinespecies.org:taxname:105819		Sphyrna zygaena	Animalia	Chordata		Sphyrnidae	Sphyrna				species		
693	2019-01-02T15:19:23			SharkBase	SharkBase	HumanObservation	693					1	individuals			present										2012-03-19 00:03:00									Ecuador						-0.53333	-90.35	100	0.0009	POINT (-90.35000 -0.53333)							urn:lsid:marinespecies.org:taxname:105793		Carcharhinus limbatus	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
694	19/AUG/22			SharkBase	SharkBase	HumanObservation	694					1	individuals			present										2013-03-14 00:03:00															-0.56775	-90.1419	100	0.0009	POINT (-90.14189 -0.56775)							urn:lsid:marinespecies.org:taxname:105816		Sphyrna lewini	Animalia	Chordata		Sphyrnidae	Sphyrna				Species	(Griffith & Smith, 1834)	Scalloped hammerhead
337	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	337					1	individuals			present										2015-03-12 00:03:00															-27.5297	32.6828	100	0.0009	POINT (32.68280 -27.52970)							urn:lsid:marinespecies.org:taxname:105854		Himantura uarnak	Animalia	Chordata		Dasyatidae	Himantura				species		
338	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	338					1	individuals			present										2015-03-12 00:03:00															-27.5318	32.6815	100	0.0009	POINT (32.68155 -27.53180)							urn:lsid:marinespecies.org:taxname:217415		Himantura jenkinsii	Animalia	Chordata		Dasyatidae	Himantura				species		
339	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	339					1	individuals			present										2015-03-12 00:03:00															-27.5297	32.6828	100	0.0009	POINT (32.68280 -27.52970)							urn:lsid:marinespecies.org:taxname:217415		Himantura jenkinsii	Animalia	Chordata		Dasyatidae	Himantura				species		
34	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	34					1	individuals			present										2014-06-25 23:06:00															-34.1502	22.121	100	0.0009	POINT (22.12097 -34.15024)							urn:lsid:marinespecies.org:taxname:105838		Carcharodon carcharias	Animalia	Chordata		Lamnidae	Carcharodon				Species		
340	2019-01-02T15:18:49			SharkBase	SharkBase	HumanObservation	340					1	individuals			present										2012-04-13 23:04:00															-27.521	32.6903	100	0.0009	POINT (32.69030 -27.52100)							urn:lsid:marinespecies.org:taxname:217436		Mobula kuhlii									unranked		
341	2019-01-02T15:18:50			SharkBase	SharkBase	HumanObservation	341					1	individuals			present										2012-04-10 23:04:00															-27.5318	32.6815	100	0.0009	POINT (32.68155 -27.53180)							urn:lsid:marinespecies.org:taxname:298794		Manta alfredi	Animalia	Chordata		Mobulidae	Manta				Species		
342	2019-01-02T15:18:50			SharkBase	SharkBase	HumanObservation	342					1	individuals			present										2014-06-17 23:06:00															-27.5277	32.6849	100	0.0009	POINT (32.68490 -27.52770)							urn:lsid:marinespecies.org:taxname:105769		Rhinobatos	Animalia	Chordata		Rhinobatidae	Rhinobatos				genus		
343	2019-01-02T15:18:50			SharkBase	SharkBase	HumanObservation	343					1	individuals			present										2015-03-20 00:03:00															-27.453	32.7114	100	0.0009	POINT (32.71138 -27.45300)							urn:lsid:marinespecies.org:taxname:712972		Taeniurops meyeni	Animalia	Chordata		Dasyatidae	Taeniurops				Species		
344	2019-01-02T15:18:50			SharkBase	SharkBase	HumanObservation	344					1	individuals			present										2015-03-23 00:03:00															-27.5348	32.683	100	0.0009	POINT (32.68300 -27.53480)							urn:lsid:marinespecies.org:taxname:398283		Rhynchobatus palpebratus	Animalia	Chordata		Rhynchobatidae	Rhynchobatus				species		
346	2019-01-02T15:18:50			SharkBase	SharkBase	HumanObservation	346					1	individuals			present										2014-04-15 23:04:00															-27.5203	32.6937	100	0.0009	POINT (32.69375 -27.52030)							urn:lsid:marinespecies.org:taxname:217337		Carcharhinus amblyrhynchos	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species	(Bleeker, 1856)	Grey Reef Shark
